index,id,latitude,longitude,stationName,zone
218,444,40.7423543,-73.98915076,Broadway & W 24 St,5
258,486,40.7462009,-73.98855723,Broadway & W 29 St,5
270,498,40.74854862,-73.98808416,Broadway & W 32 St,5
64,267,40.75097711,-73.98765428,Broadway & W 36 St,5
146,362,40.75172632,-73.98753523,Broadway & W 37 St,5
304,533,40.75299641,-73.98721619,Broadway & W 39 St,5
237,465,40.75513557,-73.98658032,Broadway & W 41 St,5
24,173,40.76064679,-73.98442659,Broadway & W 49 St,5
272,500,40.76228826,-73.98336183,Broadway & W 51 St,5
241,469,40.76344058,-73.98268129,Broadway & W 53 St,5
240,468,40.7652654,-73.98192338,Broadway & W 55 St,5
229,457,40.76695317,-73.98169333,Broadway & W 58 St,5
271,499,40.76915505,-73.98191841,Broadway & W 60 St,4
202,427,40.701907,-74.013942,Bus Slip & State St,1
94,307,40.71427487,-73.98990025,Canal St & Rutgers St,3
152,368,40.73038599,-74.00214988,Carmine St & 6 Ave,2
319,2009,40.71117444,-73.99682619,Catherine St & Monroe St,3
317,2006,40.76590936,-73.97634151,Central Park S & 6 Ave,5
165,387,40.71273266,-74.0046073,Centre St & Chambers St,1
164,386,40.71494807,-74.00234482,Centre St & Worth St,1
118,332,40.71219906,-73.97948148,Cherry St,3
142,358,40.73291553,-74.00711384,Christopher St & Greenwich St,2
15,151,40.7218158,-73.99720307,Cleveland Pl & Spring St,2
93,306,40.70823502,-74.00530063,Cliff St & Fulton St,1
134,350,40.71559509,-73.9870295,Clinton St & Grand St,3
126,342,40.71739973,-73.98016555,Columbia St & Rivington St,3
84,296,40.71413089,-73.9970468,Division St & Bowery,3
70,276,40.71748752,-74.0104554,Duane St & Greenwich St,1
73,280,40.73331967,-73.99510132,E 10 St & 5 Ave,2
219,445,40.72740794,-73.98142006,E 10 St & Avenue A,3
112,326,40.72953837,-73.98426726,E 11 St & 1 Ave,3
39,237,40.73047309,-73.98672378,E 11 St & 2 Ave,3
141,357,40.73261787,-73.99158043,E 11 St & Broadway,2
255,483,40.73223272,-73.98889957,E 12 St & 3 Ave,3
207,433,40.72955361,-73.98057249,E 13 St & Avenue A,3
282,511,40.72938685,-73.97772429,E 14 St & Avenue B,6
85,297,40.734232,-73.986923,E 15 St & 3 Ave,6
268,496,40.73726186,-73.99238967,E 16 St & 5 Ave,5
247,475,40.73524276,-73.98758561,E 16 St & Irving Pl,6
269,497,40.73704984,-73.99009296,E 17 St & Broadway,5
111,325,40.73624527,-73.98473765,E 19 St & 3 Ave,6
181,403,40.72502876,-73.99069656,E 2 St & 2 Ave,3
88,301,40.72217444,-73.98368779,E 2 St & Avenue B,3
14,150,40.7208736,-73.98085795,E 2 St & Avenue C,3
233,461,40.73587678,-73.98205027,E 20 St & 2 Ave,6
259,487,40.73314259,-73.97573881,E 20 St & FDR Drive,6
275,503,40.73827428,-73.98751968,E 20 St & Park Ave,5
310,545,40.736502,-73.97809472,E 23 St & 1 Ave,6
263,491,40.74096374,-73.98602213,E 24 St & Park Ave S,5
25,174,40.7381765,-73.97738662,E 25 St & 1 Ave,6
278,507,40.73912601,-73.97973776,E 25 St & 2 Ave,6
321,2012,40.739445,-73.976806,E 27 St & 1 Ave,6
203,428,40.72467721,-73.98783413,E 3 St & 1 Ave,3
311,546,40.74444921,-73.98303529,E 30 St & Park Ave S,5
248,476,40.74394314,-73.97966069,E 31 St & 3 Ave,6
244,472,40.7457121,-73.98194829,E 32 St & Park Ave,5
298,527,40.744023,-73.976056,E 33 St & 2 Ave,6
297,526,40.74765947,-73.98490707,E 33 St & 5 Ave,5
19,160,40.748238,-73.978311,E 37 St & Lexington Ave,6
289,518,40.74780373,-73.9734419,E 39 St & 2 Ave,6
22,167,40.7489006,-73.97604882,E 39 St & 3 Ave,6
213,439,40.7262807,-73.98978041,E 4 St & 2 Ave,3
17,153,40.752062307,-73.9816324043,E 40 St & 5 Ave,5
322,2017,40.75022392,-73.97121414,E 43 St & 2 Ave,6
105,318,40.75320159,-73.9779874,E 43 St & Vanderbilt Ave,5
